time,fx,fy,fz,tx,ty,tz,px,py,pz
0,-0.032587091,0.009483895,4.982274164,4.952408205,8.513163753,-0.050463743,0.009222,0,0
6052,-0.033472558,0.015330325,4.984158473,4.577916947,8.457830627,-0.069224629,0.009222,0,0
11049,-0.033136123,0.017684753,4.989841433,4.377305899,8.390928354,-0.058804486,0.009222,0,0
16045,-0.033930685,0.019191997,4.992657728,4.359314616,8.355690928,-0.054895284,0.009222,0,0
21051,-0.032402842,0.018249807,4.990156212,4.478280847,8.365460068,-0.04827695,0.009222,0,0
25995,-0.03151256,0.013174121,4.987480201,4.691370614,8.440810041,-0.046090736,0.009222,0,0
30975,-0.032778951,0.010115747,4.984523612,5.016397619,8.574164746,-0.047234966,0.009222,0,0
35991,-0.028509949,0.009472738,4.981480152,5.34572954,8.656080618,-0.04848791,0.009222,0,0
41029,-0.029868844,0.005918128,4.97684686,5.54947916,8.71768737,-0.042089689,0.009222,0,0
46061,-0.031406841,0.003455767,4.974771325,5.602574541,8.713048581,-0.027667401,0.009222,0,0
51068,-0.032575557,0.005387455,4.979060707,5.530767883,8.624931557,-0.044303719,0.009222,0,0
55963,-0.034575901,0.00946181,4.981125025,5.341258704,8.494982909,-0.039228996,0.009222,0,0
60983,-0.037613241,0.010128269,4.985295505,4.988426793,8.402784154,-0.040835254,0.009222,0,0
66015,-0.036451205,0.014627184,4.986666659,4.664899788,8.31213961,-0.040542808,0.009222,0,0
70975,-0.03725773,0.017230718,4.992069463,4.432512812,8.295049659,-0.052187846,0.009222,0,0
76014,-0.036224662,0.017273045,4.992470312,4.378873831,8.312895022,-0.03740813,0.009454,0,0
81112,-0.034346578,0.016317181,4.990649315,4.530657588,8.3434539,-0.044254323,0.009976,0,0
86043,-0.035073913,0.011263747,4.984251931,4.797797468,8.409741737,-0.039467626,0.010585,0,0
90936,-0.032521474,0.009921372,4.986077479,5.134687411,8.513931857,-0.039504306,0.011455,0,0
95967,-0.031730292,0.005726312,4.980241802,5.404202507,8.625297099,-0.043174445,0.012876,0,0
101018,-0.030934481,0.007498869,4.98056318,5.580598904,8.741776546,-0.040003076,0.014239,0,0
106072,-0.029630638,0.007536162,4.97535276,5.543053403,8.788955081,-0.039916676,0.016008001,0,0
111096,-0.032020925,0.008594452,4.978158322,5.345970433,8.764632923,-0.051284193,0.017951,0,0
116151,-0.032416623,0.008877244,4.986632835,5.129244145,8.642135807,-0.062653344,0.020242,0,0
121083,-0.032347959,0.011058861,4.982492221,4.781195592,8.461538414,-0.05645726,0.022736,0,0
126110,-0.035639549,0.017978959,4.976055312,4.508501794,8.341364665,-0.032158029,0.025636001,0,0
131000,-0.03642965,0.01666911,4.978091066,4.422926709,8.312351292,-0.03081514,0.028419999,0,0
136017,-0.03721254,0.016060336,4.994923746,4.520019597,8.247323327,-0.051700952,0.031436,0,0
141087,-0.035453093,0.013244817,4.991046551,4.638501811,8.217935111,-0.050981751,0.035032,0,0
146051,-0.036887511,0.011037939,4.985498502,4.911579174,8.351264533,-0.023810547,0.038830999,0,0
151118,-0.033284931,0.008414924,4.988757653,5.229455936,8.497730798,-0.040728455,0.043035999,0,0
156093,-0.031169903,0.003312862,4.98876543,5.460941213,8.529360681,-0.05287119,0.046980001,0,0
161193,-0.031398939,0.004418675,4.977526663,5.609073258,8.649444053,-0.011588454,0.051707,0,0
166208,-0.034187383,0.005209215,4.972489682,5.576155759,8.741532694,-0.010433977,0.056520998,0,0
171161,-0.030039661,0.005996053,4.982281208,5.472757652,8.721317611,-0.048894924,0.061480001,0,0
176184,-0.032405182,0.008726549,4.991085076,5.204043666,8.657802696,-0.065105173,0.066496998,0,0
181138,-0.030925952,0.013019268,4.987780148,4.815857876,8.542752311,-0.056891416,0.071571998,0,0
186092,-0.033222202,0.015402867,4.990800091,4.518696183,8.494698573,-0.046312256,0.076357,0,0
191150,-0.035481985,0.018820535,4.982623061,4.284768124,8.358811707,-0.04296646,0.081432,0,0
196211,-0.033278158,0.017851742,4.98797966,4.261486802,8.23513176,-0.06211547,0.086652003,0,0
201117,-0.036351422,0.018393914,4.98719064,4.458752418,8.231274508,-0.026803215,0.091349997,0,0
206190,-0.03435055,0.013509071,4.984435473,4.7540785,8.268166705,-0.036423884,0.096424997,0,0
211152,-0.033920037,0.009908419,4.981474245,5.129510396,8.443009942,-0.03409605,0.101470999,0,0
216123,-0.03203591,0.00554695,4.983180399,5.450128884,8.567660891,-0.027976943,0.106314003,0,0
221214,-0.030597569,0.002231921,4.981401821,5.729514836,8.729767979,-0.026027907,0.111533999,0,0
226173,-0.030507915,0.003464649,4.97677581,5.794760759,8.759856475,-0.033487985,0.116550997,0,0
231142,-0.033474961,0.001035574,4.981889099,5.717894846,8.749322873,-0.037084088,0.121307001,0,0
236242,-0.032975005,0.006958148,4.983061164,5.35266353,8.598883765,-0.053505774,0.126614004,0,0
241130,-0.033516835,0.010422534,4.986015547,4.91972903,8.494461258,-0.050483034,0.131543994,0,0
246072,-0.033604484,0.017118538,4.984572096,4.515530969,8.428498416,-0.037084329,0.136213005,0,0
251168,-0.03620255,0.022282703,4.987633983,4.263373732,8.358674283,-0.061750347,0.141519994,0,0
256166,-0.038405067,0.019981979,4.988756708,4.17840697,8.281407699,-0.051871728,0.146566004,0,0
261105,-0.035581743,0.019192506,4.992118517,4.287079703,8.189707316,-0.076124117,0.151234999,0,0
266150,-0.034331108,0.015966877,4.984318836,4.57456061,8.217333661,-0.04525877,0.156513005,0,0
271131,-0.033587988,0.011368095,4.983793675,4.951619118,8.388812889,-0.016143324,0.161559001,0,0
276154,-0.033545374,0.006744478,4.987145944,5.371771033,8.595896667,-0.042753628,0.166315004,0,0
281148,-0.026839214,0.003384161,4.984423562,5.632773356,8.714317766,-0.056214492,0.171535,0,0
286078,-0.027688119,0.003634831,4.976386984,5.787646155,8.835924862,-0.030517253,0.176494002,0,0
291124,-0.031602375,0.001181013,4.973172827,5.713704237,8.834160814,-0.031514296,0.181308001,0,0
296124,-0.032720318,0.004323448,4.97676954,5.505718663,8.692645081,-0.04491575,0.186470002,0,0
301139,-0.036094256,0.009434954,4.992378967,5.132056514,8.522316139,-0.044371973,0.191515997,0,0
306074,-0.037018843,0.012118898,4.992754533,4.738331659,8.421779287,-0.049383381,0.196214005,0,0
311163,-0.033189569,0.016766543,4.989057103,4.299532585,8.322194848,-0.054755328,0.201491997,0,0
316114,-0.032125907,0.019939869,4.982232951,4.192991911,8.305386875,-0.059672751,0.206508994,0,0
321089,-0.037737814,0.020927705,4.986536879,4.287168329,8.323613071,-0.040074359,0.211178005,0,0
326161,-0.034043721,0.017739821,4.986879074,4.586968946,8.300413226,-0.063520375,0.216514006,0,0
331059,-0.032708447,0.012363529,4.983034561,4.944382487,8.369371775,-0.038356098,0.221443996,0,0
336081,-0.031381773,0.008434867,4.979509375,5.262396062,8.521265976,-0.038603364,0.226171002,0,0
341232,-0.03067206,0.003868261,4.983637927,5.507957787,8.693807308,-0.051106551,0.231564999,0,0
346059,-0.029411414,0.003347812,4.984065428,5.641558558,8.802490413,-0.055644077,0.236378998,0,0
351096,-0.028798712,0.0077681,4.971618008,5.569088232,8.761987986,-0.026158731,0.241221994,0,0
356135,-0.030443801,0.006720663,4.978640987,5.349863748,8.650820447,-0.041674673,0.246471003,0,0
361180,-0.03703142,0.011137745,4.985338293,5.122435454,8.522936516,-0.032211202,0.251545995,0,0
366092,-0.037700367,0.012459307,4.987656397,4.795636179,8.349617049,-0.055106208,0.256215006,0,0
371192,-0.036047339,0.012274449,4.990860614,4.547361877,8.2949611,-0.045283253,0.261435002,0,0
376106,-0.035197128,0.017275066,4.991832119,4.385166779,8.287771339,-0.05556494,0.266364992,0,0
381095,-0.032487287,0.017376613,4.990016728,4.441689724,8.362511216,-0.059974267,0.271207988,0,0
386154,-0.034302437,0.015376626,4.989184959,4.634525604,8.448436637,-0.047113255,0.276428014,0,0
391069,-0.032520328,0.01457252,4.98425772,4.932209439,8.486428692,-0.042600441,0.281300008,0,0
396125,-0.032279463,0.008341397,4.980340665,5.21262064,8.536755581,-0.057199097,0.286143005,0,0
401265,-0.031591878,0.007034215,4.982922624,5.414188706,8.608719989,-0.041168242,0.291536987,0,0
406103,-0.030842239,0.008477529,4.979219234,5.491538055,8.718993601,-0.041584138,0.296321988,0,0
411042,-0.030158095,0.005012382,4.982726104,5.408084722,8.760802534,-0.047277295,0.301048994,0,0
416096,-0.030171163,0.008316376,4.976942975,5.259967763,8.747851238,-0.034651718,0.306326985,0,0
421073,-0.032733907,0.009261185,4.983348943,5.049239947,8.609830676,-0.051533915,0.311315,0,0
426113,-0.035981381,0.01161963,4.98908498,4.878177391,8.447359012,-0.049137063,0.316071004,0,0
431068,-0.036081997,0.015199058,4.987614476,4.662025326,8.272786472,-0.044999764,0.321262002,0,0
436026,-0.03768474,0.014958417,4.987930636,4.573971299,8.269330125,-0.040986502,0.326162994,0,0
