time,fx,fy,fz,tx,ty,tz,px,py,pz
0,-0.032822625,-0.018954031,5.010840888,-11.66745826,-10.48769167,-0.102535545,0,0,0
9822,-0.031109624,-0.018370364,5.00393552,-11.73198565,-10.52936832,-0.101323715,0,0,0
19626,-0.032014068,-0.017133901,5.001651324,-11.51532981,-10.43068563,-0.099155076,0,0,0
30406,-0.033695173,-0.020830547,5.002185126,-11.30229949,-10.23105996,-0.126458544,0,0,0
42276,-0.033526318,-0.023032548,5.006056701,-11.3623261,-10.23243101,-0.126433458,0,0,0
54127,-0.034990768,-0.019284398,5.006701104,-11.59768199,-10.47831056,-0.126848666,0,0,0
64969,-0.033853161,-0.016606777,5.010076642,-11.77711636,-10.67068742,-0.103035537,0,0,0
75029,-0.0333696,-0.01745277,4.999408069,-11.70950867,-10.59720672,-0.09712631,0,0,0
86265,-0.031036723,-0.020693529,5.001803889,-11.41112911,-10.4085601,-0.112121456,0,0,0
97280,-0.032430927,-0.021133107,5.00657457,-11.23967563,-10.19241557,-0.125111797,0,0,0
107370,-0.031791631,-0.023218776,5.007850184,-11.34050347,-10.17711903,-0.119985938,0,0,0
117344,-0.031828402,-0.020061201,5.012463234,-11.56165839,-10.39062648,-0.114889392,0,0,0
127349,-0.033075887,-0.017382731,5.004666824,-11.72183867,-10.52206913,-0.108235772,0,0,0
138746,-0.032342591,-0.016165206,4.995516156,-11.59689182,-10.53516131,-0.108250923,0,0,0
150274,-0.033120512,-0.020615948,4.998643998,-11.40157897,-10.39288759,-0.121666652,0,0,0
160829,-0.033444357,-0.021117628,5.009733103,-11.35375869,-10.33719217,-0.129140425,0,0,0
170833,-0.032814068,-0.021136939,5.015060936,-11.52548828,-10.40154515,-0.113995561,0,0,0
181186,-0.031691057,-0.017772182,5.008643934,-11.66120303,-10.52593354,-0.112105612,0,0,0
190743,-0.03188386,-0.01775052,5.006307448,-11.63536618,-10.50000416,-0.092109316,0,0,0
201477,-0.031045198,-0.018948018,5.005476873,-11.45783561,-10.34011441,-0.104630688,0,0,0
212304,-0.030636911,-0.020464161,4.998322415,-11.26702345,-10.17960306,-0.116777947,0,0,0
223171,-0.033588078,-0.021300758,5.001303265,-11.30614664,-10.22909953,-0.134293621,0,0,0
233486,-0.032584647,-0.018228582,5.009775996,-11.58182359,-10.42912026,-0.115155736,0,0,0
243373,-0.034360685,-0.016878584,5.006741658,-11.76849994,-10.63693752,-0.107311828,0,0,0
253549,-0.034263098,-0.016616698,4.999846073,-11.71213896,-10.65889724,-0.099364428,0,0,0
264448,-0.031319661,-0.019145808,5.008048167,-11.51801688,-10.52148806,-0.112209475,0,0,0
274502,-0.031231051,-0.01937609,5.007530727,-11.33811272,-10.26005705,-0.115726755,0,0,0
285534,-0.032298803,-0.02261263,5.003887697,-11.30531178,-10.21233946,-0.118356941,0,0,0
296224,-0.032482042,-0.021303322,5.012476787,-11.51826256,-10.37447032,-0.116925209,0,0,0
306795,-0.033001269,-0.018271261,5.008197961,-11.67789239,-10.47584208,-0.110472073,0,0,0
317389,-0.032935819,-0.017706027,4.995006991,-11.55915156,-10.47105938,-0.097993579,0,0,0
327425,-0.034727747,-0.021024509,5.003753247,-11.43004255,-10.37374186,-0.122282097,0,0,0
341384,-0.035015324,-0.019943485,4.999831876,-11.38039903,-10.26703318,-0.131463696,0,0,0
351834,-0.034632516,-0.020426261,5.009960381,-11.50229821,-10.45831841,-0.114823764,0,0,0
361266,-0.033785965,-0.01869762,5.014781142,-11.72851549,-10.5728835,-0.103749857,0,0,0
373382,-0.031296283,-0.01791234,5.003354369,-11.66316584,-10.55381349,-0.102036638,0,0,0
385421,-0.031660626,-0.019789831,4.999610682,-11.3861819,-10.34274345,-0.106920613,0,0,0
395807,-0.032844398,-0.021174989,5.005989916,-11.25122567,-10.16317687,-0.133794524,0,0,0
407613,-0.033083609,-0.021179838,5.003977206,-11.36192794,-10.2500823,-0.119189482,0,0,0
417254,-0.034242587,-0.018988729,5.007214793,-11.60377296,-10.49139112,-0.112294504,0,0,0
427259,-0.034292274,-0.017881671,5.009506705,-11.82212478,-10.63467667,-0.109148107,0,0,0
