time,fx,fy,fz,tx,ty,tz,px,py,pz
0,-0.032720821822042945,-0.014230590445897029,5.00654069590176,-14.81695852261355,-1.4207733880889961,-0.13978310633840607,0.0,0.0,0.13560399319976568
10009,-0.03125762151515077,-0.014585625005862468,4.992510164513239,-14.782705171139742,-1.4255764982712833,-0.13653944328370216,0.0,0.0,0.1357199987396598
19985,-0.03234844026898953,-0.014457871745726436,4.996389694965728,-14.754968666995076,-1.4503087718797332,-0.14298374094429533,0.0,0.0,0.1358360042795539
29992,-0.03123476269876524,-0.014798730887076061,4.992080562468419,-14.823215178264881,-1.381266119850931,-0.13348266281428423,0.0,0.0,0.13589399959892035
40000,-0.032245082748289855,-0.014483007342717347,4.999498421003469,-14.778398243434928,-1.4105698489738039,-0.13936144524159744,0.0,0.0,0.1359519949182868
49975,-0.03095787598049249,-0.014030878922245194,5.00538933441306,-14.837112985593581,-1.3872502967656182,-0.13351756363633172,0.0,0.0,0.13609699811786413
59982,-0.029549756486769496,-0.013063707408210945,5.00235230396653,-14.83004458665302,-1.3929428225935112,-0.13546971390965012,0.0,0.0,0.136184005998075
69989,-0.031180543440934017,-0.013739612538716806,4.99614890389646,-14.749385083373095,-1.4441249846947777,-0.13923577648344576,0.0,0.0,0.13647399749606848
79966,-0.0315622877124504,-0.013872100640437424,4.994103364135871,-14.809114051415229,-1.423663908762986,-0.1369360538596176,0.0,0.0,0.13659000303596258
89973,-0.03147137939130862,-0.012575591207048653,4.9900108365013685,-14.772077216344979,-1.4443664581496094,-0.13428622916402944,0.0,0.0,0.13659000303596258
100146,-0.03253016157781685,-0.012838994396827008,5.000836756356605,-14.755931982924249,-1.4731204760921557,-0.141737243526606,0.0,0.0,0.13659000303596258
109988,-0.031151373502965818,-0.014265917334458145,5.002308539548763,-14.857980621507672,-1.403890550429871,-0.13391281772675256,0.0,0.0,0.1367059936746955
119970,-0.03190582991873847,-0.01401135711779311,5.005057565965303,-14.79412364531925,-1.417276834149419,-0.13825595415773506,0.0,0.0,0.13696700241416693
129973,-0.031626899241563144,-0.01562945759226997,4.995587646718272,-14.76829733757069,-1.4008085746729932,-0.13616619403126506,0.0,0.0,0.13699600007385015
140592,-0.03064936346447089,-0.013747443796298331,4.993404174151071,-14.782406701179053,-1.4156707490933513,-0.13675889027657817,0.0,0.0,0.13711200561374426
150545,-0.0309334077719412,-0.013095168478391095,4.994142795105823,-14.768845045186783,-1.4395102197897955,-0.134870972895051,0.0,0.0,0.13722799625247717
160054,-0.030436839498635404,-0.013847758421203782,4.997493521591672,-14.839644361210368,-1.4344061527550735,-0.13670160338404358,0.0,0.0,0.13728600647300482
169961,-0.031904861531611095,-0.013724777824184464,5.002264729191312,-14.834129856616165,-1.4353686094838949,-0.13932304939093854,0.0,0.0,0.13740199711173773
179946,-0.03226634857570776,-0.013551368241808248,5.005758222414502,-14.841681350216177,-1.4116458618784513,-0.13783404445412373,0.0,0.0,0.13740199711173773
189955,-0.03127104891693211,-0.014531460609934044,4.994323204794177,-14.778024183536079,-1.3956755361795956,-0.1351554549646643,0.0,0.0,0.13745999243110418
200317,-0.03172153982138237,-0.015281496146223539,4.993440684551248,-14.736927824290301,-1.4055456441605685,-0.13522767419698312,0.0,0.0,0.13745999243110418
210416,-0.030429602980967196,-0.012518674034974087,4.993330556001315,-14.797353787858988,-1.397055101205165,-0.14111698067131329,0.0,0.0,0.13751800265163183
219944,-0.03133900485789387,-0.013192674738070842,4.995982487173923,-14.822144321482089,-1.403959671332295,-0.1343399200821196,0.0,0.0,0.13774999883025885
229952,-0.030680732196923133,-0.012873075343272422,5.0068783825835075,-14.830201577033307,-1.4720992247832427,-0.13537637945952596,0.0,0.0,0.1379239996895194
240757,-0.031414166875239236,-0.011026857879659957,5.0014599512066935,-14.875823682106041,-1.3936818603337358,-0.13672674206616975,0.0,0.0,0.13809800054877996
250571,-0.03064859084403082,-0.013756836213967283,4.997522488947758,-14.761921651838922,-1.4458534852511242,-0.13987883323671824,0.0,0.0,0.13821400608867407
259971,-0.032146794110890387,-0.014594309158227237,4.997046683826098,-14.755077536316417,-1.4024756330383354,-0.13662176071348142,0.0,0.0,0.13832999672740698
269919,-0.030923874140138974,-0.013138682104250954,4.990835128756413,-14.774678660740161,-1.3782963876915524,-0.13100256581249425,0.0,0.0,0.13844600226730108
279926,-0.031569506568070116,-0.014983143038651558,4.99706520902718,-14.764683864875337,-1.4137633932185736,-0.13538801630082276,0.0,0.0,0.13873599376529455
290284,-0.030961229479666175,-0.013149296040436909,5.004009798397669,-14.81187080213597,-1.4204248874199976,-0.1280114300960591,0.0,0.0,0.13893900718539953
299910,-0.031088412952776867,-0.01277720771541313,5.000327921756156,-14.860236153497006,-1.3871409844530191,-0.13608717216196453,0.0,0.0,0.13896800484508276
309919,-0.031927684116717314,-0.014403681234619548,4.998672623713263,-14.759844941329863,-1.44656214366859,-0.14058873577776154,0.0,0.0,0.13920000102370977
319925,-0.030828791112061493,-0.013882008017203518,4.991213052847037,-14.775900695403124,-1.4006861137939062,-0.13110514398756123,0.0,0.0,0.13931600656360388
329909,-0.030669458043929065,-0.014590986062190225,4.992884868808637,-14.770765169306301,-1.3922308894110316,-0.1301713484043141,0.0,0.0,0.13951900508254766
339908,-0.030874959673043323,-0.013323613384267574,4.994664951225767,-14.76619095953157,-1.3766661179364306,-0.13513470960977259,0.0,0.0,0.13948999252170324
349922,-0.030851803715582937,-0.014201488864323597,5.004158878042349,-14.801470825855635,-1.3861559070128777,-0.12653006227853325,0.0,0.0,0.1395480027422309
359924,-0.03066267256056876,-0.014331096922656883,5.001723111601123,-14.824071305707005,-1.3597407452607726,-0.13953822911145863,0.0,0.0,0.13960599806159735
370444,-0.030343356709834346,-0.014202307718298002,4.9991404147818175,-14.758138942280318,-1.4289542621696576,-0.13217471421125282,0.0,0.0,0.1396639933809638
379907,-0.03073705369150259,-0.01379564211895179,4.992817152316817,-14.785832069501183,-1.3914014549875802,-0.13003785904410137,0.0,0.0,0.13975100126117468
389915,-0.030334165441151528,-0.014194036340019256,4.993927594347247,-14.765315139034296,-1.4172802577519974,-0.13747185410621654,0.0,0.0,0.13983799424022436
399890,-0.031872904581185635,-0.014146557481191202,4.995978886379846,-14.776481639106777,-1.4038791821611554,-0.14031363007965325,0.0,0.0,0.139896004460752
409990,-0.030585178197976237,-0.014390974989435534,5.001969965067157,-14.81390652408054,-1.4114283686876838,-0.13235381090166953,0.0,0.0,0.13995399978011847
419905,-0.031170080072041362,-0.01406082220782956,5.000763147999891,-14.792622087677028,-1.3944674475443897,-0.12666805385293856,0.0,0.0,0.14018599595874548
429881,-0.030526346887703948,-0.013442867502472033,4.999577149679908,-14.756835347056889,-1.412594067704731,-0.1385429720652347,0.0,0.0,0.14018599595874548
439889,-0.030441006629820633,-0.015088670622608547,4.98949482678915,-14.746517486634758,-1.4070413963938293,-0.14308708759906352,0.0,0.0,0.14030200149863958
449905,-0.030297339451666794,-0.01367448126187032,4.992972991075167,-14.748930181433462,-1.4230533887041155,-0.13320696499886608,0.0,0.0,0.14035999681800604
459882,-0.031366711848135775,-0.013518466614982572,4.9959090649798,-14.799924085089469,-1.3942844825828615,-0.13268985267641753,0.0,0.0,0.14047600235790014
469919,-0.0316921805504522,-0.014518949444195961,5.0028880647560445,-14.8127441607373,-1.4194443319392782,-0.14071774943413828,0.0,0.0,0.1406500032171607
480594,-0.03091653303062558,-0.01525389229347418,5.003270132138977,-14.837272235203294,-1.4016737380743614,-0.12945996603491494,0.0,0.0,0.14070799853652716
489863,-0.030864597368594593,-0.01335852843036367,4.998180528577217,-14.801068710346726,-1.4118813683701106,-0.1362837959820311,0.0,0.0,0.14088199939578772
499879,-0.03169046494996142,-0.01464928649773345,4.996053893866191,-14.748962038924006,-1.424181278629355,-0.13244912834110778,0.0,0.0,0.14099800493568182
509879,-0.03133592887079306,-0.014970311400196223,4.993651189270267,-14.793270118344331,-1.4012488835454562,-0.14140673998716125,0.0,0.0,0.14123000111430883
519854,-0.03218002357995098,-0.013881334476969265,4.99636633362914,-14.793254197052025,-1.4150579081380954,-0.13684034788968802,0.0,0.0,0.1412879964336753
530396,-0.03103052700316522,-0.01318729572584365,5.003290060159215,-14.828746970904373,-1.4226149198949898,-0.13904092259528866,0.0,0.0,0.14131699409335852
540588,-0.030048049182053838,-0.013153768236539243,5.0025517847617955,-14.851585126479176,-1.4113943465900967,-0.13134231870713364,0.0,0.0,0.14137500431388617
549845,-0.03288518742954327,-0.014131696001789429,4.997428030605564,-14.775849450945763,-1.4248513067454667,-0.13969452465238774,0.0,0.0,0.1415199926123023
560469,-0.03088932136928646,-0.012950062088272318,4.993213716907749,-14.77346126106968,-1.4246792289227805,-0.13670686578216618,0.0,0.0,0.1415199926123023
570863,-0.031120587878580963,-0.013103596218726032,4.989493053348908,-14.761295428000594,-1.4401257596856958,-0.14681888768318174,0.0,0.0,0.1416359981521964
581368,-0.03227484987890339,-0.014710880505344637,4.998301240600594,-14.773717085364368,-1.4616241120303215,-0.13222770383122295,0.0,0.0,0.1417520036920905
590850,-0.03225454149579576,-0.011606457019349925,5.000920957557211,-14.865836173026466,-1.3942048281068153,-0.144296801331663,0.0,0.0,0.1417520036920905
600867,-0.03168373651063039,-0.01509859881391229,5.004127146943459,-14.804900312791972,-1.4549050294298524,-0.1424550221884502,0.0,0.0,0.1417520036920905
610834,-0.030669991006012864,-0.014765584513447116,5.00284602059389,-14.814054886240271,-1.425090689659175,-0.1334304322016493,0.0,0.0,0.14186799433082342
621071,-0.03152487069522958,-0.013168306690356069,4.99232575653995,-14.777393254314568,-1.4018099490660987,-0.13293230426552327,0.0,0.0,0.14210000541061163
630974,-0.031270777356978696,-0.015147314919135013,4.990135016401658,-14.729503122796324,-1.440195342196283,-0.1293141343766706,0.0,0.0,0.14233200158923864
640825,-0.03120821750795466,-0.012645560998818528,4.998162784220823,-14.833749061484838,-1.4183042793703642,-0.13954679105820844,0.0,0.0,0.1425060024484992
651078,-0.03189476532971436,-0.012591682792804093,4.996180644645342,-14.85524392358234,-1.40936024501449,-0.1416222941690961,0.0,0.0,0.1425060024484992
661122,-0.03218962927496016,-0.014624346674582789,5.007277822186598,-14.795510382355953,-1.4868001937997875,-0.1399071078115952,0.0,0.0,0.1426219930872321
670816,-0.030973764331694076,-0.012662169214984864,5.000225311007747,-14.8902408285146,-1.3687090127468693,-0.13991629223945523,0.0,0.0,0.1426219930872321
680823,-0.03187611545836533,-0.014600357919237084,4.993015192408809,-14.752340363743805,-1.4424428224886015,-0.12690879382255105,0.0,0.0,0.142709000967443
